# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.730686e+00 1.272445e-14 1.794821e-17
1.731082e+00 1.234205e-14 1.730993e-17
1.731478e+00 1.148970e-14 1.580633e-17
1.731874e+00 1.088913e-14 1.467418e-17
1.732270e+00 1.122091e-14 1.596042e-17
1.732666e+00 1.186732e-14 1.699786e-17
1.733062e+00 1.209642e-14 2.100415e-17
1.733458e+00 1.202530e-14 2.334163e-17
1.733854e+00 1.181705e-14 2.493336e-17
1.734250e+00 1.138170e-14 2.585391e-17
1.734646e+00 1.106783e-14 5.844290e-17
1.735042e+00 1.128829e-14 2.643150e-17
1.735438e+00 1.124821e-14 2.539056e-17
1.735834e+00 1.141099e-14 2.391523e-17
1.736230e+00 1.186894e-14 2.346583e-17
1.736626e+00 1.217322e-14 1.918331e-17
1.737022e+00 1.152297e-14 1.485018e-17
1.737418e+00 1.173583e-14 1.490051e-17
1.737814e+00 1.179592e-14 1.484669e-17
1.738210e+00 1.158699e-14 1.416586e-17
1.738606e+00 1.180491e-14 1.417494e-17
1.739002e+00 1.194753e-14 1.217318e-17
1.739398e+00 1.183730e-14 1.091833e-17
1.739794e+00 1.172682e-14 1.188799e-17
1.740190e+00 1.105210e-14 9.315047e-18
1.740586e+00 1.073498e-14 9.061302e-18
1.740982e+00 1.092424e-14 9.157169e-18
1.741378e+00 1.171240e-14 9.845347e-18
1.741774e+00 1.201162e-14 9.835490e-18
1.742170e+00 1.200434e-14 1.017348e-17
1.742566e+00 1.136714e-14 1.008983e-17
1.742962e+00 1.121826e-14 1.022833e-17
1.743358e+00 1.148458e-14 1.048200e-17
1.743754e+00 1.133797e-14 1.040705e-17
1.744150e+00 1.122866e-14 1.019293e-17
1.744546e+00 1.151536e-14 1.089593e-17
1.744942e+00 1.144885e-14 1.125608e-17
1.745338e+00 1.150712e-14 1.233883e-17
1.745734e+00 1.172680e-14 1.318057e-17
1.746130e+00 1.193252e-14 1.324623e-17
1.746526e+00 1.168578e-14 1.294080e-17
1.746922e+00 1.116959e-14 1.255403e-17
1.747318e+00 1.084446e-14 1.225245e-17
1.747714e+00 1.086801e-14 1.276890e-17
1.748110e+00 nan nan
1.748506e+00 1.105134e-14 1.329791e-17
1.748902e+00 1.172647e-14 1.146213e-17
1.749298e+00 1.144583e-14 1.009304e-17
1.749694e+00 1.139792e-14 1.040626e-17
1.750090e+00 1.112113e-14 9.999654e-18
1.750486e+00 1.023480e-14 9.802702e-18
1.750882e+00 1.012043e-14 9.371420e-18
1.751278e+00 1.076823e-14 9.594781e-18
1.751674e+00 1.086346e-14 9.493789e-18
1.752070e+00 1.083723e-14 1.257213e-17
1.752466e+00 1.116633e-14 1.328224e-17
