# Wlen(nm) Transmission Continuum
1.921796425533252886e+03 4.876836916663040457e-03 1.523964354542053590e+00
1.921802954882496806e+03 6.459674523455259491e-03 1.527762534569965469e+00
1.921809578916035662e+03 8.243141043685772718e-03 1.531606157706179916e+00
1.921816182857268132e+03 1.019231964234124099e-02 1.535428471061229150e+00
1.921822731692582920e+03 1.227483429130943327e-02 1.539209382881639332e+00
1.921829410400860525e+03 1.446216847983994823e-02 1.543055535271654399e+00
1.921835902859493672e+03 1.672906680868924828e-02 1.546785010748100486e+00
1.921842618515968979e+03 1.904927546503642002e-02 1.550632937991605953e+00
1.921849129791880387e+03 2.140196726287247123e-02 1.554354292447477359e+00
1.921855769826291407e+03 2.376970481837385740e-02 1.558139646182931326e+00
1.921862356292869435e+03 2.614041784024443218e-02 1.561884905207876262e+00
1.921868920529967909e+03 2.850368608458596006e-02 1.565608063591364285e+00
1.921875582362371688e+03 3.085016821297726849e-02 1.569376930713856977e+00
1.921882074209100665e+03 3.317200700326768115e-02 1.573040290955368015e+00
1.921888804417982328e+03 3.546047427583418760e-02 1.576828436937572464e+00
1.921895299666950450e+03 3.771144974666325311e-02 1.580474958150515530e+00
1.921901953654426507e+03 3.992001088370647488e-02 1.584201057400125956e+00
1.921908524693095387e+03 4.208127469476775212e-02 1.587871241311950898e+00
1.921915102283812757e+03 4.418678419837499677e-02 1.591535674043955462e+00
1.921921749287444982e+03 4.623012147599402100e-02 1.595229222074039388e+00
1.921928250306021710e+03 4.821154522062298664e-02 1.598832368624130140e+00
1.921934973449911013e+03 5.013564325081074080e-02 1.602548982057897753e+00
1.921941464504042187e+03 5.201653484462764876e-02 1.606127999074403956e+00
1.921948130395542876e+03 5.387610993615862126e-02 1.609793923008976169e+00
1.921954688054279359e+03 5.574235212935475803e-02 1.613390946177021723e+00
1.921961276949218700e+03 5.762728163440243578e-02 1.616995745055076261e+00
1.921967911172413551e+03 5.951169409461049692e-02 1.620615875564590080e+00
1.921974422895305906e+03 6.135123633062174175e-02 1.624159931691125713e+00
1.921981133858355179e+03 6.309476436709714198e-02 1.627802868807854297e+00
1.921987624299487379e+03 6.470288439062289731e-02 1.631316880572592165e+00
1.921994300044741067e+03 6.614456838749761813e-02 1.634921771767741783e+00
1.922000846372752903e+03 6.739539994466232919e-02 1.638447484565091594e+00
