# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.782166e+00 8.985392e-15 1.032082e-17
1.782562e+00 8.908786e-15 1.031927e-17
1.782958e+00 9.125649e-15 1.019467e-17
1.783354e+00 9.700585e-15 1.104424e-17
1.783750e+00 9.967697e-15 1.154196e-17
1.784146e+00 9.806795e-15 1.164932e-17
1.784542e+00 9.367627e-15 1.122238e-17
1.784938e+00 9.050786e-15 1.105794e-17
1.785334e+00 8.732201e-15 1.044512e-17
1.785730e+00 8.411204e-15 9.213686e-18
1.786126e+00 8.578167e-15 8.280720e-18
1.786522e+00 8.707944e-15 7.787607e-18
1.786918e+00 8.288453e-15 7.321151e-18
1.787314e+00 8.111578e-15 7.071654e-18
1.787710e+00 8.474972e-15 7.169708e-18
1.788106e+00 8.700552e-15 7.300877e-18
1.788502e+00 8.668648e-15 7.224437e-18
1.788898e+00 8.896556e-15 7.335568e-18
1.789294e+00 9.175489e-15 7.252598e-18
1.789690e+00 9.222029e-15 7.285879e-18
1.790086e+00 8.892532e-15 6.997337e-18
1.790482e+00 8.619385e-15 6.781549e-18
1.790878e+00 8.741140e-15 6.886590e-18
1.791274e+00 8.660681e-15 6.818555e-18
1.791670e+00 8.441472e-15 6.917013e-18
1.792066e+00 8.442488e-15 7.158452e-18
1.792462e+00 8.583720e-15 1.071105e-17
1.792858e+00 8.676996e-15 1.091640e-17
1.793254e+00 8.302631e-15 1.071019e-17
1.793650e+00 8.017927e-15 7.787616e-18
1.794046e+00 8.153647e-15 7.584890e-18
1.794442e+00 8.260747e-15 7.629401e-18
1.794838e+00 8.192731e-15 7.768331e-18
1.795234e+00 8.484648e-15 8.154121e-18
1.795630e+00 9.014615e-15 8.619988e-18
1.796026e+00 8.516356e-15 8.254625e-18
1.796422e+00 8.009330e-15 7.825600e-18
1.796818e+00 8.581003e-15 8.278270e-18
1.797214e+00 8.921669e-15 8.519993e-18
1.797610e+00 8.865874e-15 8.359012e-18
1.798006e+00 8.949344e-15 8.035851e-18
1.798402e+00 9.115481e-15 7.992335e-18
1.798798e+00 8.905993e-15 7.932022e-18
1.799194e+00 8.179501e-15 7.415981e-18
1.799590e+00 7.849074e-15 7.200944e-18
1.799986e+00 8.020733e-15 7.334616e-18
1.800382e+00 8.092409e-15 7.616766e-18
1.800778e+00 7.763584e-15 7.701961e-18
1.801174e+00 7.530951e-15 9.348459e-18
1.801570e+00 7.775399e-15 1.161637e-17
1.801966e+00 8.051023e-15 1.146591e-17
1.802362e+00 7.812486e-15 9.126683e-18
1.802758e+00 7.806429e-15 8.693346e-18
1.803154e+00 8.151265e-15 8.512816e-18
1.803550e+00 8.286897e-15 8.781156e-18
1.803946e+00 8.612098e-15 9.029515e-18
1.804342e+00 8.891525e-15 9.102742e-18
1.804738e+00 8.639795e-15 8.857266e-18
1.805134e+00 8.295582e-15 8.227241e-18
1.805530e+00 8.035597e-15 8.094468e-18
1.805926e+00 8.044586e-15 8.579510e-18
1.806322e+00 8.174382e-15 8.837692e-18
1.806718e+00 8.229526e-15 8.860794e-18
1.807114e+00 7.641298e-15 8.427883e-18
1.807510e+00 7.466497e-15 7.864157e-18
1.807906e+00 8.030973e-15 8.255442e-18
1.808302e+00 8.219231e-15 8.791723e-18
1.808698e+00 7.943785e-15 8.940024e-18
1.809094e+00 8.118735e-15 9.127614e-18
1.809490e+00 8.410462e-15 9.038084e-18
1.809886e+00 8.523804e-15 9.053321e-18
1.810282e+00 8.153299e-15 8.951876e-18
1.810678e+00 7.274101e-15 8.812979e-18
1.811074e+00 7.272851e-15 9.014550e-18
1.811470e+00 7.972925e-15 9.747947e-18
1.811866e+00 8.045615e-15 9.359356e-18
1.812262e+00 7.343281e-15 1.150367e-17
1.812658e+00 7.196690e-15 1.051436e-17
1.813054e+00 7.845500e-15 7.804587e-18
1.813450e+00 8.188695e-15 7.913333e-18
1.813846e+00 8.538793e-15 7.714420e-18
1.814242e+00 9.105325e-15 7.873511e-18
1.814638e+00 9.125559e-15 7.854890e-18
1.815034e+00 8.462268e-15 7.404006e-18
1.815430e+00 8.376017e-15 7.469649e-18
1.815826e+00 8.451053e-15 7.534153e-18
1.816222e+00 8.507247e-15 7.204761e-18
1.816618e+00 8.422420e-15 7.014488e-18
1.817014e+00 7.780567e-15 6.539683e-18
1.817410e+00 7.609250e-15 6.435863e-18
1.817806e+00 7.756736e-15 6.694499e-18
1.818202e+00 7.746460e-15 6.841244e-18
1.818598e+00 7.801378e-15 7.573637e-18
1.818994e+00 7.955961e-15 9.384825e-18
1.819390e+00 7.786222e-15 9.934173e-18
1.819786e+00 7.785381e-15 1.004814e-17
1.820182e+00 7.963649e-15 1.039010e-17
1.820578e+00 7.879792e-15 1.010127e-17
1.820974e+00 7.751964e-15 9.717121e-18
1.821370e+00 7.530041e-15 9.516707e-18
1.821766e+00 7.179067e-15 9.304271e-18
1.822162e+00 7.114969e-15 9.288831e-18
1.822558e+00 7.549954e-15 9.764309e-18
1.822954e+00 8.202169e-15 1.030476e-17
1.823350e+00 8.633359e-15 1.069840e-17
1.823746e+00 8.711810e-15 1.071887e-17
1.824142e+00 8.723998e-15 9.216235e-18
1.824538e+00 8.327150e-15 8.314877e-18
1.824934e+00 7.719660e-15 7.302586e-18
1.825330e+00 7.611955e-15 7.033825e-18
1.825726e+00 7.866442e-15 7.173732e-18
1.826122e+00 7.173874e-15 6.734432e-18
1.826518e+00 6.922464e-15 6.501883e-18
1.826914e+00 7.585964e-15 6.947366e-18
1.827310e+00 7.805686e-15 7.155682e-18
1.827706e+00 8.338276e-15 1.512752e-17
1.828102e+00 8.571483e-15 1.542436e-17
1.828498e+00 8.740515e-15 1.598438e-17
1.828894e+00 8.051693e-15 7.164078e-18
1.829290e+00 8.231476e-15 7.490590e-18
1.829686e+00 8.419165e-15 8.403123e-18
1.830082e+00 7.868553e-15 1.005166e-17
1.830478e+00 7.818192e-15 1.034806e-17
1.830874e+00 7.993071e-15 1.052055e-17
1.831270e+00 8.065119e-15 1.064963e-17
1.831666e+00 7.934881e-15 1.050534e-17
1.832062e+00 7.533699e-15 1.010452e-17
1.832458e+00 7.213645e-15 9.722419e-18
1.832854e+00 7.382250e-15 9.293484e-18
1.833250e+00 7.734247e-15 8.482254e-18
1.833646e+00 7.823275e-15 8.216471e-18
1.834042e+00 7.826923e-15 7.915683e-18
1.834438e+00 7.687915e-15 9.492735e-18
1.834834e+00 7.398594e-15 9.196608e-18
1.835230e+00 7.580816e-15 9.402067e-18
1.835626e+00 7.925239e-15 8.026383e-18
1.836022e+00 7.876191e-15 6.981865e-18
1.836418e+00 8.024182e-15 6.930313e-18
1.836814e+00 8.263297e-15 7.250875e-18
1.837210e+00 7.980051e-15 7.096134e-18
1.837606e+00 7.254206e-15 6.703815e-18
1.838002e+00 7.300755e-15 6.738381e-18
1.838398e+00 7.822790e-15 7.271208e-18
1.838794e+00 7.820259e-15 7.547572e-18
1.839190e+00 7.437411e-15 7.409183e-18
1.839586e+00 7.192507e-15 7.225573e-18
1.839982e+00 7.451019e-15 7.380451e-18
1.840378e+00 7.852789e-15 7.604659e-18
1.840774e+00 8.218844e-15 7.578565e-18
1.841170e+00 8.569958e-15 7.925061e-18
1.841566e+00 8.051015e-15 7.851040e-18
1.841962e+00 7.201682e-15 7.425278e-18
1.842358e+00 6.955248e-15 7.228888e-18
1.842754e+00 7.108759e-15 7.415022e-18
1.843150e+00 7.204161e-15 7.478804e-18
1.843546e+00 7.168533e-15 7.493772e-18
1.843942e+00 6.974793e-15 7.286115e-18
1.844338e+00 6.857680e-15 7.161886e-18
1.844734e+00 7.198506e-15 7.364315e-18
1.845130e+00 7.898414e-15 1.679602e-17
1.845526e+00 7.572048e-15 1.593064e-17
1.845922e+00 7.481151e-15 7.494306e-18
1.846318e+00 7.486965e-15 7.832332e-18
1.846714e+00 6.997030e-15 7.409320e-18
1.847110e+00 6.751325e-15 7.198549e-18
1.847506e+00 6.888943e-15 6.964447e-18
1.847902e+00 6.566797e-15 6.538336e-18
1.848298e+00 6.045774e-15 6.202127e-18
1.848694e+00 6.370119e-15 6.342653e-18
1.849090e+00 6.984900e-15 6.420644e-18
1.849486e+00 7.050627e-15 6.514846e-18
1.849882e+00 7.080260e-15 7.405104e-18
1.850278e+00 6.943517e-15 7.762020e-18
1.850674e+00 7.112674e-15 7.827608e-18
