# Wlen(nm) Transmission Continuum
1.922514187318245149e+03 4.144644515187635436e-01 5.247514355506764927e-01
1.922520862287959744e+03 4.192759179531286295e-01 5.252751011368909095e-01
1.922527389903977109e+03 4.233051163507511871e-01 5.257856485064822394e-01
1.922533979556549411e+03 4.267037161531913037e-01 5.262994871050975521e-01
1.922540592063278609e+03 4.295540316644154699e-01 5.268135331755839923e-01
1.922547096225097221e+03 4.319134453551692898e-01 5.273176196455354736e-01
1.922553793796050286e+03 4.338346271607342874e-01 5.278351045606507475e-01
1.922560275504485617e+03 4.353705485567268552e-01 5.283343754314969720e-01
1.922566931890007936e+03 4.365726326150454750e-01 5.288455311062214559e-01
1.922573476632846450e+03 4.374867265421593099e-01 5.293465640784001947e-01
1.922580047107546989e+03 4.381496099605875494e-01 5.298480233000367745e-01
1.922586677334437354e+03 4.385876173177417070e-01 5.303524767718342803e-01
1.922593161724592392e+03 4.388169985133293372e-01 5.308443145549596176e-01
1.922599877609160330e+03 4.388453008164555635e-01 5.313521285054714216e-01
1.922606358712233487e+03 4.386723560785800169e-01 5.318406646132393112e-01
1.922612994484156388e+03 4.382906334664180004e-01 5.323393092094025336e-01
1.922619558382056539e+03 4.376851221980507245e-01 5.328310115035745920e-01
1.922626107649087771e+03 4.368329728276023061e-01 5.333200917474295588e-01
1.922632757624772012e+03 4.357052463947791443e-01 5.338151347424600068e-01
1.922639238300007264e+03 4.342730932415796996e-01 5.342960659529019107e-01
1.922645938353010933e+03 4.325190825728706945e-01 5.347917134287936136e-01
1.922652436937475613e+03 4.304480109393916676e-01 5.352709398899427873e-01
1.922659050065044539e+03 4.280860772269804437e-01 5.357570812997030085e-01
1.922665635147594912e+03 4.254595175246629335e-01 5.362396274679102071e-01
1.922672161175810515e+03 4.225586040717818626e-01 5.367163381477926265e-01
1.922678832930266935e+03 4.193083954742269914e-01 5.372021436649461190e-01
1.922685312999258485e+03 4.155652807207965149e-01 5.376724929695648747e-01
1.922691988970546163e+03 4.111395541220210781e-01 5.381555190765393570e-01
1.922698510176194759e+03 4.058238458392560144e-01 5.386258376817747440e-01
1.922705098627307734e+03 3.994061857772310820e-01 5.390994927012824345e-01
1.922711706925442968e+03 3.916603740510228304e-01 5.395730482831706531e-01
1.922718207682348748e+03 3.823201781201863159e-01 5.400374076724137051e-01
1.922724903246904887e+03 3.710535050041101068e-01 5.405141397428332439e-01
1.922731382709135914e+03 3.574483040474651929e-01 5.409739962886247477e-01
1.922738032565647018e+03 3.410181980934585688e-01 5.414444251259424856e-01
1.922744578424371639e+03 3.212303295881607235e-01 5.419059940347233928e-01
1.922751140165576999e+03 2.975693792017835015e-01 5.423671882086984475e-01
1.922757773711580739e+03 2.696656144834837510e-01 5.428319098869205384e-01
1.922764252744982286e+03 2.375094294349456570e-01 5.432843340977525637e-01
1.922770962988911151e+03 2.017246415853048147e-01 5.437513709604544498e-01
1.922777447425617993e+03 1.637878689078562100e-01 5.442012116900313279e-01
1.922784069132943387e+03 1.260279056381684859e-01 5.446590759947131932e-01
1.922790641677985377e+03 9.129653066597583078e-02 5.451120446202936121e-01
1.922797174674480402e+03 6.238765389818404228e-02 5.455608120865691468e-01
1.922803835501985304e+03 4.147318473799161548e-02 5.460168478419659133e-01
1.922810313927742982e+03 2.984619720371582685e-02 5.464589319238538634e-01
1.922816994582527968e+03 2.802840070429927707e-02 5.469133063782046777e-01
1.922823507144679752e+03 3.600529573014248086e-02 5.473547745787745722e-01
1.922830098667058337e+03 5.328244845719470185e-02 5.478001155700599201e-01
1.922836699933008049e+03 7.870059703089765657e-02 5.482446247346787205e-01
1.922843202148638966e+03 1.102567901979845943e-01 5.486810080688140356e-01
1.922849892292629875e+03 1.452242161599222037e-01 5.491284973359326083e-01
1.922856370110225498e+03 1.806224083380972567e-01 5.495603303026951325e-01
1.922863019139147127e+03 2.138046668917422677e-01 5.500020905701851204e-01
1.922869561862292585e+03 2.428652672881813357e-01 5.504353199845256617e-01
1.922876121162612435e+03 2.667255255544438985e-01 5.508681872084134623e-01
1.922882753185411957e+03 2.849613881615528088e-01 5.513043692988796041e-01
1.922889230573184250e+03 2.975303019275346017e-01 5.517289422367852580e-01
