# Wlen(nm) Flux Flux_err
1.921835494037922899e+03 1.193054080724714272e-03 1.079803234197051944e-04
1.921842128665279688e+03 1.832127139548047614e-03 1.079803234197051944e-04
1.921848717924718358e+03 1.255391411885665130e-03 1.079803234197051944e-04
1.921855275921824614e+03 1.863573985919777338e-03 1.079803234197051944e-04
1.921861941390028733e+03 3.253882313012719518e-03 1.079803234197051944e-04
1.921868432117790235e+03 2.695427644582873428e-03 1.079803234197051944e-04
1.921875154900725192e+03 2.355746170796311264e-03 1.079803234197051944e-04
1.921881654985969135e+03 1.936152648216828533e-03 1.079803234197051944e-04
1.921888300722722988e+03 1.892908566158308390e-03 1.079803234197051944e-04
1.921894877432426256e+03 2.567481589414355361e-03 1.079803234197051944e-04
1.921901445950969219e+03 2.473200683583744348e-03 1.079803234197051944e-04
1.921908099457063827e+03 2.357087790926661302e-03 1.079803234197051944e-04
1.921914590585333826e+03 2.482306141328022298e-03 1.079803234197051944e-04
1.921921321059784532e+03 2.913035556790598887e-03 1.079803234197051944e-04
1.921927811014167446e+03 3.141988882304587102e-03 1.079803234197051944e-04
1.921934465850599281e+03 2.710479704537042001e-03 1.079803234197051944e-04
1.921941032019133900e+03 2.594284687888804165e-03 1.079803234197051944e-04
1.921947609049007269e+03 3.340373428339090105e-03 1.079803234197051944e-04
1.921954252601945427e+03 3.493362625257605530e-03 1.079803234197051944e-04
1.921960751653085936e+03 3.808686077498993263e-03 1.079803234197051944e-04
1.921967472762505622e+03 3.956227267002101512e-03 1.079803234197051944e-04
1.921973962118550162e+03 3.354350635071976644e-03 1.079803234197051944e-04
1.921980624043607577e+03 3.355665785361955453e-03 1.079803234197051944e-04
1.921987181680872254e+03 3.565223667129326351e-03 1.079803234197051944e-04
1.921993765210636411e+03 3.799832293918159725e-03 1.079803234197051944e-04
1.922000400820704726e+03 4.114112139248456146e-03 1.079803234197051944e-04
1.922006905782888907e+03 3.682368180665688672e-03 1.079803234197051944e-04
1.922013619537950035e+03 3.711008346290397848e-03 1.079803234197051944e-04
1.922020108295145519e+03 3.670750560862661837e-03 1.079803234197051944e-04
1.922026775296443702e+03 4.321727070931562741e-03 1.079803234197051944e-04
1.922033326413669329e+03 3.419314847179005020e-03 1.079803234197051944e-04
1.922039914430552244e+03 3.306794992244904349e-03 1.079803234197051944e-04
1.922046544109367915e+03 4.015563292191732386e-03 1.079803234197051944e-04
1.922053052969436067e+03 4.000229572836689652e-03 1.079803234197051944e-04
1.922059761382143961e+03 4.169792850349541939e-03 1.079803234197051944e-04
