# Wlen(nm) Transmission
1.921750396908155381e+03 2.137328663685958419e-01
1.921756903490428613e+03 2.686894968580369469e-01
1.921763552288118490e+03 3.208132953147018740e-01
1.921770132880479878e+03 3.678069093962519354e-01
1.921776707056804298e+03 4.087616168095346558e-01
1.921783361835570076e+03 4.438031004909677169e-01
1.921789861214094344e+03 4.735883501427332609e-01
1.921796590355610533e+03 4.989384360452541189e-01
1.921803083216985897e+03 5.206096725567853634e-01
1.921809749981629011e+03 5.392912531117556307e-01
1.921816311120308683e+03 5.555158083328132212e-01
1.921822902660185719e+03 5.697146249106733729e-01
1.921829538588363903e+03 5.822357904041113308e-01
1.921836054726937618e+03 5.933591374824798148e-01
1.921842765621063108e+03 6.033229483244052505e-01
1.921849257864866786e+03 6.122977629838645131e-01
1.921855940533879220e+03 6.204392427159418633e-01
1.921862484280403351e+03 6.278635872608969715e-01
1.921869091120893245e+03 6.346747636169552953e-01
1.921875710260364940e+03 6.409513128752244437e-01
1.921882241095692052e+03 6.467595103274974555e-01
1.921888935804663788e+03 6.521581928335208334e-01
1.921895427430420114e+03 6.571771955464901227e-01
1.921902123939990133e+03 6.618538163131396646e-01
1.921908652357110213e+03 6.662026094330508741e-01
1.921915272434045846e+03 6.702429416201647339e-01
1.921921876847918838e+03 6.739812959774061918e-01
1.921928420315475250e+03 6.774339134784239658e-01
1.921935100902757085e+03 6.806446781492504483e-01
1.921941591909989256e+03 6.836754158376198154e-01
1.921948300195077536e+03 6.866173322016545510e-01
1.921954815346773103e+03 6.895210856955719114e-01
1.921961446594758627e+03 6.924074364530489190e-01
1.921968038347368292e+03 6.952437047442329154e-01
1.921974592381402772e+03 6.979575206441270829e-01
1.921981260911685240e+03 7.004483066274879155e-01
1.921987751299916681e+03 7.026163386465349436e-01
1.921994469294254486e+03 7.044241312490118201e-01
1.922000973245733576e+03 7.058558689880165549e-01
1.922007613598143507e+03 7.069286840074527900e-01
1.922014194755053268e+03 7.076207315783076268e-01
1.922020757288584946e+03 7.078567555616527285e-01
1.922027415827787763e+03 7.076006229037341555e-01
1.922033905596540762e+03 7.070046547508238577e-01
1.922040631232630631e+03 7.065105808784208907e-01
1.922047126050328643e+03 7.066252611131614847e-01
1.922053773439309225e+03 7.076712237829230201e-01
1.922060346067311912e+03 7.096747838552366350e-01
1.922066915032129145e+03 7.123748952076365271e-01
1.922073565647401665e+03 7.151744322532483933e-01
1.922080056010971020e+03 7.173277620859725978e-01
1.922086784790508318e+03 7.184141049728518524e-01
1.922093273756895314e+03 7.185465727674184011e-01
1.922099926113360880e+03 7.183114392716670737e-01
1.922106492280478733e+03 7.183998652740187785e-01
1.922113065607139333e+03 7.192805226238878635e-01
1.922119710366860318e+03 7.210961019368415936e-01
1.922126204486527968e+03 7.236629197321899909e-01
1.922132928015951620e+03 7.265127465436362897e-01
