# Wlen(nm) Flux Flux_err
1.921935100902757085e+03 4.292535362964586820e-01 4.114624147915170449e-03
1.921941591909989256e+03 4.282322792289650071e-01 4.114624147915170449e-03
1.921948300195077536e+03 4.312260983463445108e-01 4.114624147915170449e-03
1.921954815346773103e+03 4.336107607869290614e-01 4.114624147915170449e-03
1.921961446594758627e+03 4.363976246313200358e-01 4.114624147915170449e-03
1.921968038347368292e+03 4.403614703190559254e-01 4.114624147915170449e-03
1.921974592381402772e+03 4.412683871450011064e-01 4.114624147915170449e-03
1.921981260911685240e+03 4.413184494619225573e-01 4.114624147915170449e-03
1.921987751299916681e+03 4.409486653438514092e-01 4.114624147915170449e-03
1.921994469294254486e+03 4.435546238566084876e-01 4.114624147915170449e-03
1.922000973245733576e+03 4.488343130534401815e-01 4.114624147915170449e-03
1.922007613598143507e+03 4.470500557977483691e-01 4.114624147915170449e-03
1.922014194755053268e+03 4.449111396875788382e-01 4.114624147915170449e-03
1.922020757288584946e+03 4.493403371980233540e-01 4.114624147915170449e-03
1.922027415827787763e+03 4.443979709030873027e-01 4.114624147915170449e-03
1.922033905596540762e+03 4.483291578749795114e-01 4.114624147915170449e-03
1.922040631232630631e+03 4.476765254380589143e-01 4.114624147915170449e-03
1.922047126050328643e+03 4.459357388544454848e-01 4.114624147915170449e-03
1.922053773439309225e+03 4.457501219283023230e-01 4.114624147915170449e-03
1.922060346067311912e+03 4.506557066187117933e-01 4.114624147915170449e-03
1.922066915032129145e+03 4.525603777256915206e-01 4.114624147915170449e-03
1.922073565647401665e+03 4.499650724718496919e-01 4.114624147915170449e-03
1.922080056010971020e+03 4.451798767013753211e-01 4.114624147915170449e-03
1.922086784790508318e+03 4.439592805430798705e-01 4.114624147915170449e-03
1.922093273756895314e+03 4.463100387704538319e-01 4.114624147915170449e-03
1.922099926113360880e+03 4.503979838262129887e-01 4.114624147915170449e-03
1.922106492280478733e+03 4.511156919023411316e-01 4.114624147915170449e-03
1.922113065607139333e+03 4.518835703191255160e-01 4.114624147915170449e-03
1.922119710366860318e+03 4.508005004350861267e-01 4.114624147915170449e-03
1.922126204486527968e+03 4.541849905411979860e-01 4.114624147915170449e-03
1.922132928015951620e+03 4.526501250781700403e-01 4.114624147915170449e-03
1.922139416361765143e+03 4.542028542953883141e-01 4.114624147915170449e-03
1.922146071615398796e+03 4.572424419575422672e-01 4.114624147915170449e-03
1.922152633390885740e+03 4.581568531316466686e-01 4.114624147915170449e-03
1.922159209008714924e+03 4.573002612148328039e-01 4.114624147915170449e-03
1.922165849982496184e+03 4.592736714900428341e-01 4.114624147915170449e-03
1.922172345787229915e+03 4.534017455037725464e-01 4.114624147915170449e-03
1.922179066136507572e+03 4.487011117087521539e-01 4.114624147915170449e-03
1.922185553861269455e+03 4.443692157742789028e-01 4.114624147915170449e-03
1.922192209940521479e+03 4.341723783089971311e-01 4.114624147915170449e-03
1.922198769394862893e+03 4.267962380126589239e-01 4.114624147915170449e-03
1.922205345231953970e+03 4.153269704119272876e-01 4.114624147915170449e-03
1.922211984490637406e+03 3.990448428016145632e-01 4.114624147915170449e-03
1.922218479908172185e+03 3.747118778144298279e-01 4.114624147915170449e-03
1.922225199148504316e+03 3.401361622947363661e-01 4.114624147915170449e-03
1.922231686251735937e+03 3.087982846067912623e-01 4.114624147915170449e-03
1.922238341083822661e+03 2.845879641933927728e-01 4.114624147915170449e-03
1.922244900288736972e+03 2.674076929771755928e-01 4.114624147915170449e-03
1.922251474271948609e+03 2.694575760487452065e-01 4.114624147915170449e-03
1.922258113887610307e+03 2.901488209330665424e-01 4.114624147915170449e-03
1.922264606844447599e+03 3.235919098179645959e-01 4.114624147915170449e-03
1.922271327048266585e+03 3.601352877191603130e-01 4.114624147915170449e-03
1.922277813529488867e+03 3.900100800699335402e-01 4.114624147915170449e-03
1.922284465040392888e+03 4.125148987111231236e-01 4.114624147915170449e-03
1.922291026068831798e+03 4.344056457254890091e-01 4.114624147915170449e-03
1.922297596123788253e+03 4.417013732824545125e-01 4.114624147915170449e-03
1.922304238169738028e+03 4.510987901075026452e-01 4.114624147915170449e-03
1.922310726591144203e+03 4.601633809570652711e-01 4.114624147915170449e-03
1.922317449832117518e+03 4.625521682941043933e-01 4.114624147915170449e-03
1.922323935690851158e+03 4.666712707406284188e-01 4.114624147915170449e-03
1.922330581805319298e+03 4.792658508603991896e-01 4.114624147915170449e-03
1.922337146731468692e+03 4.822801897568098628e-01 4.114624147915170449e-03
1.922343710782559128e+03 4.788895931555254837e-01 4.114624147915170449e-03
1.922350357333340753e+03 4.747024080572820326e-01 4.114624147915170449e-03
1.922356842752349849e+03 4.778688514385516228e-01 4.114624147915170449e-03
1.922363563887280407e+03 4.781331059417545659e-01 4.114624147915170449e-03
1.922370052732141176e+03 4.818214014366974940e-01 4.114624147915170449e-03
