# Wlen(nm) Transmission
1.921750396908155381e+03 2.060632459614585299e-01
1.921756903490428613e+03 2.601086422830145017e-01
1.921763552288118490e+03 3.116643725373186569e-01
1.921770132880479878e+03 3.583827870806799987e-01
1.921776707056804298e+03 3.992696519904796459e-01
1.921783361835570076e+03 4.343713496523827211e-01
1.921789861214094344e+03 4.642881081846793601e-01
1.921796590355610533e+03 4.898016314057705989e-01
1.921803083216985897e+03 5.116464351101981389e-01
1.921809749981629011e+03 5.305012546151968156e-01
1.921816311120308683e+03 5.468924323690539380e-01
1.921822902660185719e+03 5.612467761637357500e-01
1.921829538588363903e+03 5.739106404632275948e-01
1.921836054726937618e+03 5.851653781237131646e-01
1.921842765621063108e+03 5.952519203427023564e-01
1.921849257864866786e+03 6.043421293785268267e-01
1.921855940533879220e+03 6.125919798372218006e-01
1.921862484280403351e+03 6.201187658690303639e-01
1.921869091120893245e+03 6.270266142801582676e-01
1.921875710260364940e+03 6.333929883216964374e-01
1.921882241095692052e+03 6.392841918903283682e-01
1.921888935804663788e+03 6.447602510771078821e-01
1.921895427430420114e+03 6.498521939760307786e-01
1.921902123939990133e+03 6.545981968847571775e-01
1.921908652357110213e+03 6.590134853342046739e-01
1.921915272434045846e+03 6.631174812281672715e-01
1.921921876847918838e+03 6.669165469584106276e-01
1.921928420315475250e+03 6.704269020001268897e-01
1.921935100902757085e+03 6.736925882186745040e-01
1.921941591909989256e+03 6.767759811570773776e-01
1.921948300195077536e+03 6.797690481830073184e-01
1.921954815346773103e+03 6.827233705653387164e-01
1.921961446594758627e+03 6.856602467847133786e-01
1.921968038347368292e+03 6.885471542659801214e-01
1.921974592381402772e+03 6.913113041930564195e-01
1.921981260911685240e+03 6.938514199414996808e-01
1.921987751299916681e+03 6.960675150980282222e-01
1.921994469294254486e+03 6.979219309055200160e-01
1.922000973245733576e+03 6.993980549247568179e-01
1.922007613598143507e+03 7.005088695368856255e-01
1.922014194755053268e+03 7.012256381654141668e-01
1.922020757288584946e+03 7.014680857938713210e-01
1.922027415827787763e+03 7.011985967828086030e-01
1.922033905596540762e+03 7.005729921364114432e-01
